"jday","date","month","year","hour","min","sec","speed","Direction"
304.409722222222,1,11,10,9,50,0,9.722,144.825
304.416666666667,1,11,10,10,0,0,8.506,147.704
304.423611111111,1,11,10,10,10,0,10.339,149.189
304.430555555556,1,11,10,10,20,0,7.085,153.789
304.4375,1,11,10,10,30,0,7.034,140.952
304.444444444444,1,11,10,10,40,0,7.519,146.353
304.451388888889,1,11,10,10,50,0,6.164,146.025
304.458333333333,1,11,10,11,0,0,6.291,149.334
304.465277777778,1,11,10,11,10,0,4.427,163.636
304.472222222222,1,11,10,11,20,0,4.868,168.982
304.479166666667,1,11,10,11,30,0,3.045,177.132
304.486111111111,1,11,10,11,40,0,3.725,181.698
304.493055555556,1,11,10,11,50,0,3.111,193.678
304.5,1,11,10,12,0,0,3.41,220.143
304.506944444444,1,11,10,12,10,0,4.584,202.381
304.513888888889,1,11,10,12,20,0,3.972,198.95
304.520833333333,1,11,10,12,30,0,3.448,203.543
304.527777777778,1,11,10,12,40,0,3.45,199.868
304.534722222222,1,11,10,12,50,0,3.112,220.506
304.541666666667,1,11,10,13,0,0,2.328,208.767
304.548611111111,1,11,10,13,10,0,2.379,203.431
304.555555555556,1,11,10,13,20,0,2.607,237.03
304.5625,1,11,10,13,30,0,1.97,233.784
304.569444444444,1,11,10,13,40,0,4.299,246.024
304.576388888889,1,11,10,13,50,0,2.709,268.04
304.583333333333,1,11,10,14,0,0,1.543,229.617
304.590277777778,1,11,10,14,10,0,2.895,229.892
304.597222222222,1,11,10,14,20,0,0.778,210.028
304.604166666667,1,11,10,14,30,0,2.063,209.628
304.611111111111,1,11,10,14,40,0,1.571,184.175
304.618055555556,1,11,10,14,50,0,0.906,224.899
304.625,1,11,10,15,0,0,2.49,218.226
304.631944444444,1,11,10,15,10,0,1.624,209.586
304.638888888889,1,11,10,15,20,0,1.279,171.585
304.645833333333,1,11,10,15,30,0,1.489,195.286
304.652777777778,1,11,10,15,40,0,1.48,124.481
304.659722222222,1,11,10,15,50,0,2.708,175.863
304.666666666667,1,11,10,16,0,0,1.418,133.727
304.673611111111,1,11,10,16,10,0,2.34,182.394
304.680555555556,1,11,10,16,20,0,2.5,136.996
304.6875,1,11,10,16,30,0,2.003,187.02
304.694444444444,1,11,10,16,40,0,3.118,158.837
304.701388888889,1,11,10,16,50,0,2.206,168.799
304.708333333333,1,11,10,17,0,0,3.951,174.481
304.715277777778,1,11,10,17,10,0,2.475,139.162
304.722222222222,1,11,10,17,20,0,3.256,141.923
304.729166666667,1,11,10,17,30,0,4.246,145.911
304.736111111111,1,11,10,17,40,0,4.429,135.01
304.743055555556,1,11,10,17,50,0,7.448,162.589
304.75,1,11,10,18,0,0,4.426,139.873
304.756944444444,1,11,10,18,10,0,4.554,150.039
304.763888888889,1,11,10,18,20,0,6.351,146.472
304.770833333333,1,11,10,18,30,0,5.732,154.808
304.777777777778,1,11,10,18,40,0,6,150.974
304.784722222222,1,11,10,18,50,0,3.315,136.464
304.791666666667,1,11,10,19,0,0,3.897,141.322
304.798611111111,1,11,10,19,10,0,7.23,155.667
304.805555555556,1,11,10,19,20,0,5.8,150.382
304.8125,1,11,10,19,30,0,6.608,141.297
304.819444444444,1,11,10,19,40,0,5.783,161.086
304.826388888889,1,11,10,19,50,0,7.037,155.849
304.833333333333,1,11,10,20,0,0,6.558,146.915
304.840277777778,1,11,10,20,10,0,5.182,148.467
304.847222222222,1,11,10,20,20,0,6.252,153.977
304.854166666667,1,11,10,20,30,0,5.371,151.789
304.861111111111,1,11,10,20,40,0,3.374,150.048
304.868055555556,1,11,10,20,50,0,4.815,154.791
304.875,1,11,10,21,0,0,5.093,161.099
304.881944444444,1,11,10,21,10,0,4.868,184.357
304.888888888889,1,11,10,21,20,0,5.509,188.068
304.895833333333,1,11,10,21,30,0,4.105,152.807
304.902777777778,1,11,10,21,40,0,2.549,167.51
304.909722222222,1,11,10,21,50,0,3.069,170.897
304.916666666667,1,11,10,22,0,0,3.978,172.037
304.923611111111,1,11,10,22,10,0,2.911,132.123
304.930555555556,1,11,10,22,20,0,4.122,190.036
304.9375,1,11,10,22,30,0,0.843,176.371
304.944444444444,1,11,10,22,40,0,2.045,256.27
304.951388888889,1,11,10,22,50,0,4.101,250.848
304.958333333333,1,11,10,23,0,0,3.477,290.692
304.965277777778,1,11,10,23,10,0,2.987,268.134
304.972222222222,1,11,10,23,20,0,3.133,343.335
304.979166666667,1,11,10,23,30,0,2.331,284.414
304.986111111111,1,11,10,23,40,0,4.095,330.523
304.993055555556,1,11,10,23,50,0,4.558,310.043
305,2,11,10,0,0,0,5.513,305.417
305.006944444444,2,11,10,0,10,0,7.236,318.548
305.013888888889,2,11,10,0,20,0,7.339,337.431
305.020833333333,2,11,10,0,30,0,7.375,314.658
305.027777777778,2,11,10,0,40,0,9.305,309.895
305.034722222222,2,11,10,0,50,0,7.389,330.81
305.041666666667,2,11,10,1,0,0,6.285,301.057
305.048611111111,2,11,10,1,10,0,6.449,293.072
305.055555555556,2,11,10,1,20,0,6.225,274.437
305.0625,2,11,10,1,30,0,7.742,308.514
305.069444444444,2,11,10,1,40,0,7.039,308.945
305.076388888889,2,11,10,1,50,0,8.446,290.331
305.083333333333,2,11,10,2,0,0,6.158,284.074
305.090277777778,2,11,10,2,10,0,5.332,342.787
305.097222222222,2,11,10,2,20,0,6.443,310.439
305.104166666667,2,11,10,2,30,0,4.869,331.686
305.111111111111,2,11,10,2,40,0,3.358,282.4
305.118055555556,2,11,10,2,50,0,3.771,308.779
305.125,2,11,10,3,0,0,4.009,339.386
305.131944444444,2,11,10,3,10,0,2.777,346.041
305.138888888889,2,11,10,3,20,0,1.813,298.112
305.145833333333,2,11,10,3,30,0,0.739,326.844
305.152777777778,2,11,10,3,40,0,1.014,269.593
305.159722222222,2,11,10,3,50,0,1.161,101.474
305.166666666667,2,11,10,4,0,0,3.336,158.06
305.173611111111,2,11,10,4,10,0,2.906,121.068
305.180555555556,2,11,10,4,20,0,3.455,155.891
305.1875,2,11,10,4,30,0,4.864,132.539
305.194444444444,2,11,10,4,40,0,4.279,160.823
305.201388888889,2,11,10,4,50,0,4.657,154.208
305.208333333333,2,11,10,5,0,0,5.99,137.563
305.215277777778,2,11,10,5,10,0,5.672,160.159
305.222222222222,2,11,10,5,20,0,9.351,146.724
305.229166666667,2,11,10,5,30,0,7.477,146.114
305.236111111111,2,11,10,5,40,0,8.571,148.274
305.243055555556,2,11,10,5,50,0,9.482,135.864
305.25,2,11,10,6,0,0,9.791,145.076
305.256944444444,2,11,10,6,10,0,10.8,140.342
305.263888888889,2,11,10,6,20,0,11.443,144.204
305.270833333333,2,11,10,6,30,0,10.3,144.929
305.277777777778,2,11,10,6,40,0,9.595,144.153
305.284722222222,2,11,10,6,50,0,9.392,145.585
305.291666666667,2,11,10,7,0,0,11.201,152.787
305.298611111111,2,11,10,7,10,0,11.13,147.324
305.305555555556,2,11,10,7,20,0,10.787,148.045
305.3125,2,11,10,7,30,0,10.448,154.37
305.319444444444,2,11,10,7,40,0,10.057,148.609
305.326388888889,2,11,10,7,50,0,10.305,143.719
305.333333333333,2,11,10,8,0,0,11.211,141.083
305.340277777778,2,11,10,8,10,0,8.724,138.661
305.347222222222,2,11,10,8,20,0,11.301,147.389
305.354166666667,2,11,10,8,30,0,12.002,155.363
305.361111111111,2,11,10,8,40,0,12.233,152.804
305.368055555556,2,11,10,8,50,0,10.838,150.454
305.375,2,11,10,9,0,0,11.379,147.495
305.381944444444,2,11,10,9,10,0,9.736,148.167
305.388888888889,2,11,10,9,20,0,8.011,149.996
305.395833333333,2,11,10,9,30,0,8.038,145.041
305.402777777778,2,11,10,9,40,0,5.955,149.766
305.409722222222,2,11,10,9,50,0,9.216,152.927
305.416666666667,2,11,10,10,0,0,8.798,140.353
305.423611111111,2,11,10,10,10,0,6.93,136.376
305.430555555556,2,11,10,10,20,0,9.023,148.209
305.4375,2,11,10,10,30,0,7.645,149.717
305.444444444444,2,11,10,10,40,0,6.815,153.312
305.451388888889,2,11,10,10,50,0,5.405,145.26
305.458333333333,2,11,10,11,0,0,4.873,149.923
305.465277777778,2,11,10,11,10,0,5.297,179.746
305.472222222222,2,11,10,11,20,0,5.949,149.283
305.479166666667,2,11,10,11,30,0,3.286,134.165
305.486111111111,2,11,10,11,40,0,2.569,153.641
305.493055555556,2,11,10,11,50,0,2.687,152.699
305.5,2,11,10,12,0,0,3.863,189.493
305.506944444444,2,11,10,12,10,0,2.904,179.628
305.513888888889,2,11,10,12,20,0,3.363,188.19
305.520833333333,2,11,10,12,30,0,1.109,263.224
305.527777777778,2,11,10,12,40,0,1.671,338.243
305.534722222222,2,11,10,12,50,0,2.756,313.654
305.541666666667,2,11,10,13,0,0,2.43,286.169
305.548611111111,2,11,10,13,10,0,2.728,301.511
305.555555555556,2,11,10,13,20,0,2.677,349.368
305.5625,2,11,10,13,30,0,3.387,333.517
305.569444444444,2,11,10,13,40,0,3.594,305.449
305.576388888889,2,11,10,13,50,0,4.154,331.675
305.583333333333,2,11,10,14,0,0,5.073,307.29
305.590277777778,2,11,10,14,10,0,7.26,323.438
305.597222222222,2,11,10,14,20,0,4.674,304.925
305.604166666667,2,11,10,14,30,0,7.424,331.392
305.611111111111,2,11,10,14,40,0,6.243,309.428
305.618055555556,2,11,10,14,50,0,6.379,319.021
305.625,2,11,10,15,0,0,6.805,298.114
305.631944444444,2,11,10,15,10,0,6.858,313.904
305.638888888889,2,11,10,15,20,0,7.609,302.123
305.645833333333,2,11,10,15,30,0,4.93,313.351
305.652777777778,2,11,10,15,40,0,5.077,317.683
305.659722222222,2,11,10,15,50,0,5.811,311.025
305.666666666667,2,11,10,16,0,0,4.734,293.203
305.673611111111,2,11,10,16,10,0,5.253,283.456
305.680555555556,2,11,10,16,20,0,8.177,309.523
305.6875,2,11,10,16,30,0,3.937,293.342
305.694444444444,2,11,10,16,40,0,5.237,327.202
305.701388888889,2,11,10,16,50,0,3.484,317.455
305.708333333333,2,11,10,17,0,0,5.381,316.964
305.715277777778,2,11,10,17,10,0,3.849,314.943
305.722222222222,2,11,10,17,20,0,2.545,274.206
305.729166666667,2,11,10,17,30,0,2.843,295.138
305.736111111111,2,11,10,17,40,0,2.64,320.668
305.743055555556,2,11,10,17,50,0,3.209,326.646
305.75,2,11,10,18,0,0,1.551,268.965
305.756944444444,2,11,10,18,10,0,1.476,258.983
305.763888888889,2,11,10,18,20,0,0.636,206.604
305.770833333333,2,11,10,18,30,0,0.782,44.76
305.777777777778,2,11,10,18,40,0,0.669,64.776
305.784722222222,2,11,10,18,50,0,0.563,98.731
305.791666666667,2,11,10,19,0,0,2.388,165.869
305.798611111111,2,11,10,19,10,0,2.72,142.524
305.805555555556,2,11,10,19,20,0,4.983,141.296
305.8125,2,11,10,19,30,0,3.773,153.099
305.819444444444,2,11,10,19,40,0,7.091,158.766
305.826388888889,2,11,10,19,50,0,8.467,172.292
305.833333333333,2,11,10,20,0,0,4.762,147.909
305.840277777778,2,11,10,20,10,0,4.48,152.54
305.847222222222,2,11,10,20,20,0,5.759,143.177
305.854166666667,2,11,10,20,30,0,7.848,163.815
305.861111111111,2,11,10,20,40,0,4.39,144.951
305.868055555556,2,11,10,20,50,0,5.743,166.789
305.875,2,11,10,21,0,0,4.881,131.136
305.881944444444,2,11,10,21,10,0,4.524,177.528
305.888888888889,2,11,10,21,20,0,4.49,150.097
305.895833333333,2,11,10,21,30,0,5.834,162.052
305.902777777778,2,11,10,21,40,0,6.965,158.526
305.909722222222,2,11,10,21,50,0,3.517,139.487
305.916666666667,2,11,10,22,0,0,3.877,153.491
305.923611111111,2,11,10,22,10,0,4.667,138.574
305.930555555556,2,11,10,22,20,0,2.147,145.112
305.9375,2,11,10,22,30,0,2.277,169.485
305.944444444444,2,11,10,22,40,0,2.892,187.025
305.951388888889,2,11,10,22,50,0,1.035,123.792
305.958333333333,2,11,10,23,0,0,0.432,57.083
305.965277777778,2,11,10,23,10,0,0.704,317.153
305.972222222222,2,11,10,23,20,0,3.046,213.545
305.979166666667,2,11,10,23,30,0,1.022,173.381
305.986111111111,2,11,10,23,40,0,1.802,213.707
305.993055555556,2,11,10,23,50,0,2.098,258.816
306,3,11,10,0,0,0,2.027,237.219
306.006944444444,3,11,10,0,10,0,4.207,274.075
306.013888888889,3,11,10,0,20,0,1.407,301.387
306.020833333333,3,11,10,0,30,0,4.547,313.032
306.027777777778,3,11,10,0,40,0,5.532,299.746
306.034722222222,3,11,10,0,50,0,5.68,308.495
306.041666666667,3,11,10,1,0,0,6.352,308.681
306.048611111111,3,11,10,1,10,0,5.652,297.627
306.055555555556,3,11,10,1,20,0,6.724,298.819
306.0625,3,11,10,1,30,0,4.832,308.279
306.069444444444,3,11,10,1,40,0,5.507,307.195
306.076388888889,3,11,10,1,50,0,6.086,309.026
306.083333333333,3,11,10,2,0,0,4.643,288.097
306.090277777778,3,11,10,2,10,0,5.177,293.115
306.097222222222,3,11,10,2,20,0,6.941,299.384
306.104166666667,3,11,10,2,30,0,6.641,281.805
306.111111111111,3,11,10,2,40,0,4.854,301.99
306.118055555556,3,11,10,2,50,0,6.83,298.066
306.125,3,11,10,3,0,0,3.667,312.701
306.131944444444,3,11,10,3,10,0,5.859,310.922
306.138888888889,3,11,10,3,20,0,7.935,303.233
306.145833333333,3,11,10,3,30,0,7.223,296.211
306.152777777778,3,11,10,3,40,0,6.139,305.437
306.159722222222,3,11,10,3,50,0,5.477,296.611
306.166666666667,3,11,10,4,0,0,7.295,302.744
306.173611111111,3,11,10,4,10,0,5.101,309.367
306.180555555556,3,11,10,4,20,0,4.204,286.5
306.1875,3,11,10,4,30,0,4.284,297.877
306.194444444444,3,11,10,4,40,0,1.2,299.678
306.201388888889,3,11,10,4,50,0,3.802,290.473
306.208333333333,3,11,10,5,0,0,3.443,275.238
306.215277777778,3,11,10,5,10,0,1.854,301.254
306.222222222222,3,11,10,5,20,0,3.606,287.765
306.229166666667,3,11,10,5,30,0,3.427,271.846
306.236111111111,3,11,10,5,40,0,3.626,273.023
306.243055555556,3,11,10,5,50,0,3.325,292.799
306.25,3,11,10,6,0,0,0.303,41.828
306.256944444444,3,11,10,6,10,0,3.469,191.056
306.263888888889,3,11,10,6,20,0,1.863,185.926
306.270833333333,3,11,10,6,30,0,2.877,187.738
306.277777777778,3,11,10,6,40,0,4.263,156.168
306.284722222222,3,11,10,6,50,0,3.776,172.165
306.291666666667,3,11,10,7,0,0,4.942,159.683
306.298611111111,3,11,10,7,10,0,4.381,174.271
306.305555555556,3,11,10,7,20,0,6.698,175.524
306.3125,3,11,10,7,30,0,3.498,159.944
306.319444444444,3,11,10,7,40,0,5.982,163.233
306.326388888889,3,11,10,7,50,0,3.533,118.569
306.333333333333,3,11,10,8,0,0,4.587,134.721
306.340277777778,3,11,10,8,10,0,5.846,165.994
306.347222222222,3,11,10,8,20,0,6.701,166.523
306.354166666667,3,11,10,8,30,0,6.567,166.067
306.361111111111,3,11,10,8,40,0,9.597,157.429
306.368055555556,3,11,10,8,50,0,4.768,145.267
306.375,3,11,10,9,0,0,7.859,150.831
306.381944444444,3,11,10,9,10,0,5.94,155.785
306.388888888889,3,11,10,9,20,0,7.664,161.147
306.395833333333,3,11,10,9,30,0,7.403,158.168
306.402777777778,3,11,10,9,40,0,7.058,144.522
306.409722222222,3,11,10,9,50,0,7.308,174.173
306.416666666667,3,11,10,10,0,0,6.944,179.785
306.423611111111,3,11,10,10,10,0,5.731,155.312
306.430555555556,3,11,10,10,20,0,6.894,164.479
306.4375,3,11,10,10,30,0,7.031,174.131
306.444444444444,3,11,10,10,40,0,6.446,170.944
306.451388888889,3,11,10,10,50,0,5.285,148.199
306.458333333333,3,11,10,11,0,0,6.107,178.566
306.465277777778,3,11,10,11,10,0,4.375,176.565
306.472222222222,3,11,10,11,20,0,3.482,213.46
306.479166666667,3,11,10,11,30,0,4.622,214.668
306.486111111111,3,11,10,11,40,0,3.97,211.091
306.493055555556,3,11,10,11,50,0,4.516,211.889
306.5,3,11,10,12,0,0,1.809,198.832
306.506944444444,3,11,10,12,10,0,3.113,233.507
306.513888888889,3,11,10,12,20,0,2.32,258.951
306.520833333333,3,11,10,12,30,0,4,261.64
306.527777777778,3,11,10,12,40,0,5.49,276.928
306.534722222222,3,11,10,12,50,0,7.233,297.561
306.541666666667,3,11,10,13,0,0,6.105,297.038
306.548611111111,3,11,10,13,10,0,7.628,277.897
306.555555555556,3,11,10,13,20,0,5.799,290.519
306.5625,3,11,10,13,30,0,5.07,325.481
306.569444444444,3,11,10,13,40,0,8.045,305.667
306.576388888889,3,11,10,13,50,0,7.525,295.706
306.583333333333,3,11,10,14,0,0,7.315,304.357
306.590277777778,3,11,10,14,10,0,8.463,308.815
306.597222222222,3,11,10,14,20,0,8.868,307.606
306.604166666667,3,11,10,14,30,0,8.539,308.977
306.611111111111,3,11,10,14,40,0,8.856,291.861
306.618055555556,3,11,10,14,50,0,9.625,297.788
306.625,3,11,10,15,0,0,7.414,293.158
306.631944444444,3,11,10,15,10,0,9.069,305.702
306.638888888889,3,11,10,15,20,0,9.398,308.194
306.645833333333,3,11,10,15,30,0,6.705,304.192
306.652777777778,3,11,10,15,40,0,6.963,310.456
306.659722222222,3,11,10,15,50,0,7.902,297.54
306.666666666667,3,11,10,16,0,0,6.425,298.486
306.673611111111,3,11,10,16,10,0,5.61,312.726
306.680555555556,3,11,10,16,20,0,7.206,316.002
306.6875,3,11,10,16,30,0,6.423,310.57
306.694444444444,3,11,10,16,40,0,6.368,317.586
306.701388888889,3,11,10,16,50,0,5.792,300.537
306.708333333333,3,11,10,17,0,0,5.603,309.003
306.715277777778,3,11,10,17,10,0,5.734,295.558
306.722222222222,3,11,10,17,20,0,4.186,286.366
306.729166666667,3,11,10,17,30,0,2.391,299.302
306.736111111111,3,11,10,17,40,0,2.497,323.913
306.743055555556,3,11,10,17,50,0,2.229,298.658
306.75,3,11,10,18,0,0,1.63,313.578
306.756944444444,3,11,10,18,10,0,2.018,277.656
306.763888888889,3,11,10,18,20,0,0.785,134.415
306.770833333333,3,11,10,18,30,0,2.134,200.47
306.777777777778,3,11,10,18,40,0,2.382,184.232
306.784722222222,3,11,10,18,50,0,4.169,163.539
306.791666666667,3,11,10,19,0,0,4.075,183.187
306.798611111111,3,11,10,19,10,0,3.294,162.357
306.805555555556,3,11,10,19,20,0,3.996,153.727
306.8125,3,11,10,19,30,0,3.784,147.238
306.819444444444,3,11,10,19,40,0,4.236,159.17
306.826388888889,3,11,10,19,50,0,4.523,141.55
306.833333333333,3,11,10,20,0,0,5.087,157.313
306.840277777778,3,11,10,20,10,0,6.706,157.265
306.847222222222,3,11,10,20,20,0,6.64,166.198
306.854166666667,3,11,10,20,30,0,7.595,149.102
306.861111111111,3,11,10,20,40,0,8.142,146.705
306.868055555556,3,11,10,20,50,0,7.565,145.127
306.875,3,11,10,21,0,0,9.39,144.367
306.881944444444,3,11,10,21,10,0,8.74,141.715
306.888888888889,3,11,10,21,20,0,6.812,147.109
306.895833333333,3,11,10,21,30,0,5.685,147.95
306.902777777778,3,11,10,21,40,0,6.566,137.969
306.909722222222,3,11,10,21,50,0,7.323,147.862
306.916666666667,3,11,10,22,0,0,9.421,150.291
306.923611111111,3,11,10,22,10,0,6.93,142.852
306.930555555556,3,11,10,22,20,0,8.013,147.46
306.9375,3,11,10,22,30,0,8.784,155.116
306.944444444444,3,11,10,22,40,0,6.277,147.739
306.951388888889,3,11,10,22,50,0,8.839,146.98
306.958333333333,3,11,10,23,0,0,9.526,155.952
306.965277777778,3,11,10,23,10,0,8.128,145.219
306.972222222222,3,11,10,23,20,0,6.989,150.877
306.979166666667,3,11,10,23,30,0,5.565,140.51
306.986111111111,3,11,10,23,40,0,5.922,148.191
306.993055555556,3,11,10,23,50,0,5.443,147.81
307,4,11,10,0,0,0,4.362,155.041
307.006944444444,4,11,10,0,10,0,4.176,155.793
307.013888888889,4,11,10,0,20,0,3.27,194.511
307.020833333333,4,11,10,0,30,0,2.38,171.921
307.027777777778,4,11,10,0,40,0,2.31,187.866
307.034722222222,4,11,10,0,50,0,2.64,215.907
307.041666666667,4,11,10,1,0,0,0.984,205.703
307.048611111111,4,11,10,1,10,0,1.583,181.436
307.055555555556,4,11,10,1,20,0,3.456,195.277
307.0625,4,11,10,1,30,0,1.18,218.308
307.069444444444,4,11,10,1,40,0,3.003,183.997
307.076388888889,4,11,10,1,50,0,1.456,220.742
307.083333333333,4,11,10,2,0,0,1.276,286.775
307.090277777778,4,11,10,2,10,0,3.003,250.468
307.097222222222,4,11,10,2,20,0,0.949,285.709
307.104166666667,4,11,10,2,30,0,1.716,281.926
307.111111111111,4,11,10,2,40,0,2.113,256.363
307.118055555556,4,11,10,2,50,0,3.291,255.134
307.125,4,11,10,3,0,0,1.8,257.197
307.131944444444,4,11,10,3,10,0,1.601,299.04
307.138888888889,4,11,10,3,20,0,2.229,240.986
307.145833333333,4,11,10,3,30,0,1.111,257.322
307.152777777778,4,11,10,3,40,0,0.829,215.532
307.159722222222,4,11,10,3,50,0,1.535,199.73
307.166666666667,4,11,10,4,0,0,1.531,199.345
307.173611111111,4,11,10,4,10,0,1.319,175.573
307.180555555556,4,11,10,4,20,0,2.853,158.163
307.1875,4,11,10,4,30,0,2.877,158.702
307.194444444444,4,11,10,4,40,0,3.21,152.758
307.201388888889,4,11,10,4,50,0,3.558,176.12
307.208333333333,4,11,10,5,0,0,4.803,140.408
307.215277777778,4,11,10,5,10,0,4.306,165.379
307.222222222222,4,11,10,5,20,0,4.371,166.05
307.229166666667,4,11,10,5,30,0,5.002,150.228
307.236111111111,4,11,10,5,40,0,6.116,155.829
307.243055555556,4,11,10,5,50,0,7.483,148.16
307.25,4,11,10,6,0,0,6.361,147.09
307.256944444444,4,11,10,6,10,0,7.492,144.364
307.263888888889,4,11,10,6,20,0,7.44,146.673
307.270833333333,4,11,10,6,30,0,8.657,139.006
307.277777777778,4,11,10,6,40,0,8.628,144.91
307.284722222222,4,11,10,6,50,0,10.621,148.39
307.291666666667,4,11,10,7,0,0,9.725,155.493
307.298611111111,4,11,10,7,10,0,8.834,143.903
307.305555555556,4,11,10,7,20,0,9.033,146.964
307.3125,4,11,10,7,30,0,11.507,145.076
